Item No.,Description,Unit,Quantity of cement,,
,No.,,per unit quantity of,,
,,,work(Quintals),,
,CEMEN T CONCRETE (CAST - IN- SITU),,,,
4.1,P/L cem ent concrete - all works upto plinth level :,,,,
4.1.2,1:1½:3 (1 Cement : 1½ coarse sand derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.00,,
,4.1.2A 1:1½:3 (1 Cement : 1½ coarse sand including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 3 graded stone aggregate 20 mm nominal size Recycled Concrete Aggregate (RCA) upto 25%,cum,4.00,,
4.1.3,1:2:4 (1 cement : 2 coarse sand derived from natural sources : 4 graded stone aggregate 20 mm nominal size derived from natural sources),cum,3.20,,
,4.1.3A 1:2:4 (1 Cement : 2 coarse sand including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 4 graded stone aggregate 20 mm nominal size Recycled Concrete Aggregate (RCA) upto 25%,cum,3.20,,
4.1.4,1:2:4 (1 Cement : 2 coarse sand derived from natural sources : 4 graded stone aggregate 40 mm nominal size derived from natural sources),cum,3.20,,
4.1.5,1:3:6 (1 Cement : 3 coarse sand derived from natural sources : 6 graded stone aggregate 20 mm nominal size derived from natural sources),cum,2.20,,
,4.1.5A 1:3:6 (1 Cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA)) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA)),cum,2.20,,
,4.1.5B 1:3:6 (1 Cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA)) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Aggregate (RA)),cum,2.20,,
4.1.6,1:3:6 (1 Cement : 3 coarse sand derived from natural sources : 6 graded stone aggregate 40 mm nominal size derived from natural sources),cum,2.20,,
,4.1.6B 1:3:6 (1 Cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA)) : 6 graded,,,,
,stone aggregate 40 mm nominal size derived from,,,,
,Recycled Aggregate (RA)),cum,2.20,,
,No.,,per unit quantity of work(Quintals),,
4.1.8,1:4:8 (1 Cement : 4 coarse sand derived from natural sources : 8 graded stone aggregate 40 mm nominal size derived from natural sources),cum,1.70,,
,4.1.8A 1:4:8 (1 Cement : 4 manufactured sand derived from Recycled Concrete Aggregate (RCA)) : 8 graded stone aggregate 40 mm nominal size derived from Recycled Aggregate (RA)),cum,1.70,,
4.1.10,1:5:10 (1 cement : 5 coarse sand derived from natural sources : 10 graded stone aggregate 40 mm nominal size derived from natural sources),cum,1.30,,
,4.1.10A 1:5:10 (1 Cement : 5 manufactured sand derived from Recycled Concrete Aggregate (RCA)) : 10 graded stone aggregate 40 mm nominal size derived from Recycled Aggregate (RA)),cum,1.30,,
4.1.11,1:5:10 (1 cement : 5 fine sand derived from natural sources: 10 graded stone aggregate 40 mm nominal size derived from natural sources),cum,1.30,,
4.1.12,1:2:3½:9 (1 ordinary portland cement : 2 Fly ash : 3½ coarse sand derived from natural sources : 9 graded stone aggregate 40 mm nominal size derived from natural sources),cum,1.70,,
,4.1.12A 1:2:3½:9 (1 ordinary portland cement : 2 Fly ash : 3½ manufactured sand Recycled Concrete Aggregate (RCA) : 9 graded stone aggregate 40 mm nominal size derived from Recycled Aggregate (RA)),cum,1.70,,
4.1.13,1:2½:4:11 (1 ordinary portland cement : 2½ fly ash : 4 coarse sand derived from natural sources: 11 graded stone aggregate 40 mm nominal size derived from derived from natural sources,cum,1.30,,
,4.1.13A 1:2½:4:11 (1 ordinary portland cement : 2½ fly ash : 4 manufactured sand Recycled Concrete Aggregate (RCA): 11 graded stone aggregate 40 mm nominal size derived from Recycled Aggregate (RA)),cum,1.30,,
4.2,P/L cem ent concrete - all works upto plinth level :,,,,
4.2.2,1:1½:3 (1 cement:1½ coarse sand derived from natural sources :3 graded stone aggregate 20 mm,,,,
,nominal size derived from natural sources),cum,4.00,,
,No.,,per unit quantity of work(Quintals),,
,4.2.2A 1:1½:3 (1 cement:1½ coarse sand inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25%: 3 graded stone aggregate 20 mm nominal size Recycled Concrete Aggregate (RCA) upto 25%),cum,4.00,,
4.2.3,1:2:4 (1 Cement : 2 coarse sand derived from natural sources: 4 graded stone aggregate 20 mm nominal size derived from natural sources),cum,3.20,,
,4.2.3A 1:2:4 (1 Cement : 2 inlcuding manuvactured sand derived from Recycled Concrete Aggregate (RCA) upto 25%: 4 graded stone aggregate 20 mm nominal,,,,
,size Recycled Concrete Aggregate (RCA) upto 25%),cum,3.20,,
4.2.5,1:3:6 (1 cement : 3 coarse sand derived from natural sources : 6 graded stone aggregate 20 mm nominal,,,,
,size derived from natural sources),cum,2.20,,
,4.2.5A 1:3:6 (1 cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA)),cum,2.20,,
,4.2.5B 1:3:6 (1 cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Aggregate (RA)),cum,2.20,,
4.2.8,1:5:10 (1 cement : 5 coarse sand derived from natural sources: 10 graded stone aggregate 40 mm nominal size derived from natural sources),cum,1.30,,
,4.2.8A 1:5:10 (1 cement : 5 manufactured sand derived from Recycled Concrete Aggregate (RCA) : 10 graded stone aggregate 40 mm nominal size derived from Recycled Aggregate (RA)),cum,1.30,,
4.4,"P/L cem ent concrete in kerbs, steps etc.:",,,,
4.4.1,1:1.5:3 (1 cement : 1.5 coarse sand derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.00,,
,4.4.1A 1:1.5:3 (1 cement : 1.5 inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete,,,,
,Aggregate (RCA) upto 25%,cum,4.00,,
,No.,,per unit quantity of work(Quintals),,
,CEMEN T CONCRETE (PRE-CAST),,,,
4.5,"P/L prec etc.: ast cement concrete string or lacing courses, copings",,,,
4.5.1,1:1½:3 (1 cement:1½ coarse sand derived from natural sources:3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.05,,
,4.5.1A 1:1½:3 (1 cement:1½ inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 25%),cum,4.05,,
4.6,"P/L prec ast cement concrete in kerbs, edgings etc.:",,,,
4.6.1,1:1.5:3 ( 1 cement : 1.5 coarse sand derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.05,,
,4.6.1A 1:1.5:3 ( 1 cement : 1.5 inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 25%),cum,4.05,,
4.7,P/L prec ast cement concrete solid blocks:,,,,
4.7.1,1:1.5:3 (1 cement : 1.5 coarse sand derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.56,,
,4.7.1A 1:1.5:3 (1 cement : 1.5 inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 25% ),cum,4.56,,
4.8,P/L prec ast cement concrete hollow blocks:,,,,
4.8.1,1:1.5:3 (1 cement : 1.5 coarse sand derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources ),cum,2.899,,
,4.8.1A 1:1.5:3 (1 cement : 1.5 inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% : 3 graded stone aggregate 20 mm,,,,
,nominal size derived from Recycled Concrete,,,,
,Aggregate (RCA) upto 25%),cum,2.899,,
,No.,,per unit quantity of work(Quintals),,
,4.17B Making 1:3 man Aggregat size deri plinth protection 50 mm thick of cement concrete ufactured sand derived from Recycled Concrete e (RCA) : 6 graded stone aggregate 20 mm nominal ved from Recycled Aggregate (RA)),sqm,0.11,,
4.19,DELETE D,,,,
4.19.1,DELETED,,,,
4.19.1.1,DELETED,,,,
4.19.1.2,DELETED,,,,
4.19.2,DELETED,,,,
4.19.2.1,DELETED,,,,
4.19.2.2,DELETED,,,,
4.20,P/L read sources y mix plain cement concrete derived from natural,,,,
4.20.1,All works upto plinth level,,,,
4.20.1.1,Concrete of M10 grade with minimum cement content of 220 kg /cum,cum,2.20,,
4.20.1.2,Concrete of M15 grade with minimum cement content of 240 kg /cum,cum,2.40,,
4.20.1.3,Concrete of M20 grade with minimum cement content of 270 kg /cum,cum,2.70,,
4.20.1.4,Concrete of M25 grade with minimum cement content of 300 kg /cum,cum,3.00,,
4.20.2,All works above plinth and upto floor V level,,,,
4.20.2.1,Concrete of M10 grade with minimum cement content of 220 kg /cum,cum,2.20,,
4.20.2.2,Concrete of M15 grade with minimum cement content of 240 kg /cum,cum,2.40,,
4.20.2.3,Concrete of M20 grade with minimum cement content of 270 kg /cum,cum,2.70,,
4.20.2.4,Concrete of M25 grade with minimum cement content of 300 kg /cum,cum,3.00,,
,4.20A P/L read sources y mix plain cement concrete derived from natural & Recycled Concrete Aggregate (RCA),,,,
,4.20A.1 All works upto plinth level,,,,
,4.20A.1.1 Concrete of M10 grade with minimum cement content of 220 kg /cum,cum,2.20,,
,4.20A.1.2 Concrete of M15 grade with minimum,,,,
,cement content of 240 kg /cum,cum,2.40,,
,No.,,per unit quantity of work(Quintals),,
,CAST-IN -SITU,,,,
5.1,P/L R.C .C. upto plinth level :,,,,
5.1.2,1:1.5:3 (1 cement : 1.5 coarse sand derived from natural sources: 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.00,,
,5.1.2A 1:1.5:3 (1 cement : 1.5 coarse sand including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%),cum,4.00,,
5.1.3,1:2:4 (1 cement : 2 coarse sand derived from natural sources: 4 graded stone aggregate 20 mm nominal size derived from natural sources),cum,3.20,,
,5.1.3A 1:2:4 (1 cement : 2 coarse sand including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 4 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%),cum,3.20,,
5.2,R.C.C w ork in walls etc.:,,,,
5.2.2,1:1.5:3 (1 cement : 1.5 coarse sand derived from natural sources: 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,4.00,,
,5.2.2A 1:1.5:3 (1 cement : 1.5 coarse sand including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%),cum,4.00,,
5.3,R.C.C. sources derived (1:1.5 coarse sand(zone-III) derived from natural : 3 graded stone aggregate 20 mm nominal size from natural sources) work in beams etc.,cum,4.00,,
,5.3A R.C.C. ( Recycle stone ag Concret 1:1.5 including manufactured sand derived from d Concrete Aggregate (RCA) upto 20%: 3 graded gregate 20 mm nominal size derived from Recycled e Aggregate (RCA) upto 20%) work in beams etc.,cum,4.00,,
5.4,R.C.C. sources (1:1.5 coarse sand(zone-III) derived from natural : 3 graded stone aggregate 20 mm nominal size,,,,
,"derived from natural sources) work in kerbs, steps etc.",cum,4.00,,
,No.,,per unit quantity of work(Quintals),,
