Item No.,Description,Unit,Rate,
No.,,,as on or just before 01.04.2021,
0006,Hire charges of Spraying machine including electric charges,day,250.00,
0101,Bhisti,day,714.00,
0112,Carpenter 2nd class,day,714.00,
0114,Beldar,day,645.00,
0115,Coolie,day,645.00,
0117,Assistant Fitter or 2nd class Fitter,day,714.00,
0122,Mason (for plaster of paris work) 1st class,day,784.00,
0123,Mason (brick layer) 1st class,day,784.00,
0131,Painter,day,714.00,
0141,White Washer,day,714.00,
0155*,Mason (average),day,749.00,
0156*,Carpenter (average),day,749.00,
0324,Coal Tar,litre,30.00,
0367,Portland Cement (OPC-43 Grade),tonne,5000.00,
0368,White Cement,tonne,11200.00,
0763,Glue,kg,75.00,
0771,Kerosene oil,litre,50.00,
0772,White cement based polymer modified self curing compound in powder form,kg,15.00,
0775,Dehradun white lime,quintal,600.00,
0776,Satna lime,quintal,370.00,
0777,Dry hydrated lime (factory made),quintal,290.00,
0801,Silicon and acrylic emulsion,litre,120.00,
0802,"Acrylic distemper 1st quality , having VOC content less than 50 grams/ litre",Kg,40.00,
0803,"Acrylic emulsion, having VOC content less than 50 grams/ litre",litre,94.00,
0804,"Premium plastic acrylic emulsion of interior grade, having VOC content less than 50 grams/ litre",litre,200.00,
0806,Ready mixed pink or grey primer on wood work (hard and soft wood) having VOC content less than 50 grams/ litre,litre,105.00,
0808,"Water thinnable cement primer for interior wall surface, having VOC content less than 50 grams/ litre",litre,50.00,
No.,,,as on or,
,,,just before 01.04.2021,
0818,Linseed oil (double boiled),litre,200.00,
0824,White cement based putty,kg,13.00,
0826,Aluminium paint,litre,150.00,
0827,Acid proof paint (chocolate or black),litre,225.00,
0828,Anticorrosive bituminous paint (black),litre,100.00,
0829,Black Japan paint,litre,90.00,
0833,Synthetic enamel paint in black or chocolate shade,litre,175.00,
0834,Synthetic enamel paint in all shades except black or chocolate shade,litre,165.00,
0836,"100% Premium acrylic dirt resistance, Silicone additives exterior paint",litre,270.00,
0837,Acrylic Exterior Primer,litre,100.00,
0850,White lead,kg,170.00,
0851,Water proofing cement paint,kg,38.00,
0855,Wax polish (ready made),kg,230.00,
0856,Ordinary varnish,litre,100.00,
0857,Superior copal varnish,litre,115.00,
0858,Superior spar varnish,litre,115.00,
0859,Oil type wood preservative,litre,130.00,
0868,Premixed super white gypsum plaster,kg,6.00,
0869,Plaster of Paris,kg,5.00,
0982,Coarse sand (zone III),cum,1500.00,
0999,Shellac,kg,300.00,
1000,Spirit,litre,48.00,
1179,Crushed stone 2.36 mm to 12.5 mm size,cum,900.00,
1198,Second class kail wood in planks,10 cudm,260.00,
1213,Water proofing materials,kilogram,35.00,
1216,Whiting,quintal,600.00,
1315,C.P.brass chain with 40 mm dia rubber plug,each,40.00,
2202,Carriage of Stone aggregate below 40 mm nominal size,cum,163.93,
2203,Carriage of Coarse sand,cum,163.93,
