Item No.,Description,Unit,Rate
No.,,,as on or just before 01.04.2021
0011,Hire charges of Pump set of capacity 4000 litres/hour,day,700.00
0037,Mobile crane,day,4500.00
0100,Bandhani,day,714.00
0101,Bhisti,day,714.00
0102,Blacksmith 1st class,day,784.00
0114,Beldar,day,645.00
0115,Coolie,day,645.00
0123,Mason (brick layer) 1st class,day,784.00
0124,Mason (brick layer) 2nd class,day,714.00
0155*,Mason (average),day,749.00
0322,Bitumen felt :Type 3 grade 1,sqm,70.00
0357,Polymer modified adhesive mortar,kg,14.00
1002,Mild steel round bar 12 mm dia and below,quintal,4850.00
1008,Flats up to 10 mm in thickness,quintal,4850.00
1034,Bolts and nuts up to 300 mm in length,quintal,5200.00
1197,Second class kail wood in scantling,10 cudm,260.00
1225,Mild steel flat strap fitting,quintal,4120.00
1235,Diesel,litre,80.87
1984,Common burnt clay F.P.S. bricks tile class designation 10,1000 Nos,4600.00
1986,Common burnt clay modular bricks class designation 12.5,1000 Nos,5200.00
2201,Carriage of Bricks,1000 Nos,437.15
2204,Carriage of Timber,cum,187.35
2205,Carriage of Steel,tonne,145.72
2207,Carriage of Brick tiles,1000 Nos,262.29
2208,Carriage of Lime,cum,163.93
2302,Carriage of G.I. sheet and accessories,tonne,145.72
2602,Common burnt clay F.P.S. (non modular) bricks class designation 7.5,1000 Nos,4590.00
,,,01-04-2021 dks ;k mlls Bhd igys
0011,4000 yhVj@izfr ?kaVk {kerk okys iai lsV dk fdjk;k,fnu,700-00
0037,eksckby dzsu,fnu,4500-00
0100,ca/kkuh,fnu,714-00
0101,fHk’rh,fnu,714-00
0112,c<bZ nwljh Js.kh dk,fnu,784-00
0114,Cksynkj,fnu,645-00
0115,dqyh,fnu,645-00
0123,jkt ¼bZaV fcNkus okyk½ izFke oxZ,fnu,784-00
0124,jkt ¼bZaV fcNkus okyk½ f}rh; oxZ,fnu,714-00
0155,jkt ¼vkSlr½,fnu,749-00
0322,fcVwesu uenk % Vkbi 3 xzsM 1,oxZ eh,70-00
0357,"ikWyhej ekWMhQkbM & ,Msflo elkyk",fd-xkz-,14-00
1002,"uje bLikr lfj, 12 feeh vkSj mlls de O;kl okys",fDoaVy,4850-00
1008,ifRr;kWa 10 feeh rd eksVh,fDoaVy,4850-00
1034,dkcys vkSj f<cfj;k¡ 300 feeh rd yEcs,fDoaVy,5200-00
1197,nwljh Js.kh dh dSy dh ydM+h ds dM+h&cRrs,10 ?ku,260-00
,,Mslh eh,
1225,uje bLikr dh piVh iRrh dh tqM+ukjsa,fDoaVy,4120-00
1235,Mhty,fyVj,80-87
1984,"10 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼ukWu ekM;wyj½",,
,bZaV&Vkby,gtkj ux,4600-00
1986,"12-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼ukWu ekM;wyj½",,
,bZaV&Vkby,gtkj ux,5200-00
2201,bZaV <qykbZ,gtkj ux,437-15
2204,ydM+h dh <qykbZ,?ku eh,187-35
2205,bLikr dh <qykbZ,Vu,145-72
2207,bZaV Vkbyksa dh <qykbZ,gtkj ux,262-29
2208,pwus dh <qykbZ,?ku eh,163-93
2302,tLrh yksgs dh pknjksa vkSj milk/kuksa dh <qykbZ,Vu,145-72
2602,"7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼ukWu ekM;wyj½",,
,bZaV&Vkby,gtkj ux,4590-00
7008,F.P.S. (non modular) clay fly ash bricks class designation 7.5,1000 Nos,4500.00
7736,Extruded burnt flyash clay sewer bricks conforming to I.S 4885,1000 Nos,5000.00
7737,Fly ash bricks conforming to I.S. 12894,1000 Nos,3950.00
7738,Calcium Silicate Bricks machine moulded conforming to I.S. 4139,1000 Nos,5050.00
7900,Modular common burnt clay bricks of class designation 7.5,1000 Nos,3800.00
7901,Machine moulded perforated common burnt clay FPS (non modular) bricks of class designation 12.5,1000 Nos,4200.00
7902,Machine moulded common burnt clay modular perforated bricks of class designation 12.5,1000 Nos,4800.00
7903,Machine moulded common burnt clay FPS (non modular) bricks of class designation 12.5,1000 Nos,4700.00
7904,Machine moulded common burnt clay tile bricks of class designation 12.5,1000 Nos,4600.00
8655,Autoclaved aerated cement (AAC) blocks,cum,2650.00
8656,Gypsum panel 666 X 500 X 100 mm size,sqm,480.00
8657,Bonding plaster for Gypsum panel,kg,25.50
9999,Sundries,L.S.,2.12
7008,"7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼ukWu ekM;wyj½",,
,bZaV&Vkby,gtkj ux,4500-00
7736,"Hkkjrh; ekud 4885&1988 ds vuq:i Hkf”er vkSj fu”dkf”kr Q~ykbZ ,W’k",,
,feV~Vh lhoj bZaVsa,gtkj ux,5000-00
7737,"Hkkjrh; ekud 12894 ds vuq:i Q~ykbZ ,W’k dh bZV",gtkj ux,3950-00
