Code No.,Description,Unit,Rate
3.1,Cement mortar 1:1 (1 cement : 1 fine sand),cum,6626.10
3.2,Cement mortar 1:2 (1 cement : 2 fine sand).,cum,5129.25
3.3,Cement mortar 1:3 (1 cement : 3 fine sand).,cum,4382.15
3.4,Cement mortar 1:4 (1 cement : 4 fine sand).,cum,3713.20
3.5,Cement mortar 1:5 (1 cement : 5 fine sand).,cum,3353.00
3.6,Cement mortar 1:6 (1 cement : 6 fine sand).,cum,3044.30
3.7,Cement mortar 1:2 (1 cement : 2 coarse sand).,cum,5699.25
3.8,Cement mortar 1:3 (1 cement : 3 coarse sand).,cum,5024.15
3.9,Cement mortar 1:4 (1 cement : 4 coarse sand).,cum,4355.20
3.10,Cement mortar 1:5 (1 cement : 5 coarse sand).,cum,3995.00
3.11,Cement mortar 1:6 (1 cement : 6 coarse sand).,cum,3686.30
3.12,Cement mortar 1:2 (1 cement : 2 stone dust).,cum,5319.25
3.13,Cement mortar 1:2 (1 cement : 2 marble dust).,cum,5347.75
3.14,Cement mortar 1:5 (1 cement : 5 marble dust).,cum,3599.10
3.15,White cement mortar 1:2 (1 white cement : 2 marble dust).,cum,9563.75
3.16,White cement mortar 1:3 (1 white cement : 3 marble dust).,cum,7790.25
3.17,White cement mortar 1:5 (1 white cement : 5 marble dust).,cum,5521.10
3.18,Mud mortar,cum,823.15
3.19,"Mortar in lime, surkhi (50% red and 50% light yellow) and marble dust 1:1.5:0.5",cum,3140.50
