Item No.,Description,Unit,Rate,
No.,,,as on or just before 01.04.2021,
0002,Hire charges of Concrete Mixer 0.25 to 0.40 cum with Hopper,day,800.00,
0004,Production cost of concrete by batch mix plant,cum,400.00,
0009,"Pumping charges of concrete including Hire charges of pump, piping work & accessories etc.",cum,210.00,
0011,Hire charges of Pump set of capacity 4000 litres/hour,day,700.00,
0012,Vibrator (Needle type 40 mm),day,350.00,
0025,Hire and running charges of light crane,day,3500.00,
0026,Hire and running charges of bentonite pump,day,3000.00,
0029,Carriage of ready mixed concrete by rotatory transit mixer,km/cum,37.30,
0052,Front end loader 1 cum bucket capacity (incl POL),hour,1300.00,
0066,Batching and Mixing Plant @ 75 cum per hour,hour,2400.00,
0070,Generator 100 KVA/125 KVA,hour,300.00,
0082,Excavation of Diaphragm wall by Mechanical Grab,sqm,1500.00,
0101,Bhisti,day,714.00,
0102,Blacksmith 1st class,day,784.00,
0103,Blacksmith 2nd class,day,714.00,
0112,Carpenter 2nd class,day,714.00,
0114,Beldar,day,645.00,
0115,Coolie,day,645.00,
0116,Fitter (grade 1),day,784.00,
0123,Mason (brick layer) 1st class,day,784.00,
0124,Mason (brick layer) 2nd class,day,714.00,
0126,Mason (for ornamental stone work) 1st class,day,784.00,
0128,Mate,day,714.00,
0131,Painter,day,714.00,
0155*,Mason (average),day,749.00,
0236,Multi purpose fibre reinforced by organic fibres and/or inorganic synthetic fibres cement board 6 mm thick,sqm,210.00,
0242,6 mm thick mulitipurpose cement bonded wood particle board conforming to IS : 14276,sqm,195.00,
0278,Manufactured sand derived from Recycled Concrete Aggregate (RCA),cum,741.00,
0279,Recycled Concrete Aggregate (RCA) 20 mm nominal size,cum,957.00,
0281,Recycled Concrete Aggregate (RCA) 10 mm nominal size,cum,957.00,
0293,Stone Aggregate (Single size) : 40 mm nominal size,cum,1300.00,
No.,,,as on or,
,,,just before 01.04.2021,
0295,Stone Aggregate (Single size) : 20 mm nominal size,cum,1400.00,
0297,Stone Aggregate (Single size) : 10 mm nominal size,cum,1350.00,
0302,Safeda ballies 125 mm diameter,metre,40.00,
0309,Paving bitumen of grade VG-10 of approved quality,tonne,25614.00,
0313,Blown type petroleum bitumen of penetration 85/25 of approved quality,tonne,34790.00,
0314,Bitumen hot sealing compound : grade A,kg,29.00,
0316,Bitumen solution primer of approved quality,litre,47.00,
0339,"Flame retardant face insulating, Impregnated fibre board 12 mm thick",sqm,375.00,
0349,Curing compound,litre,38.00,
0367,Portland Cement (OPC-43 Grade),tonne,5000.00,
0370,Coal (steam),quintal,440.00,
0596,Bright finished or black enameled mild steel butt hinges 75x47x 1.70 mm,10 Nos,56.00,
0639,Bright finished or black enameled mild steel screws 25 mm,100 Nos,40.00,
0768,Cement Concrete Jali 50 mm thick,sqm,400.00,
0769,Cement Concrete Jali 40 mm thick,sqm,350.00,
0770,Cement Concrete Jali 25 mm thick,sqm,275.00,
0967,Copper plate,kg,527.00,
0982,Coarse sand (zone III),cum,1500.00,
0983,Fine sand (zone IV),cum,900.00,
0992,Galvanised steel plain sheets,quintal,5000.00,
1004,Average rate of Mild steel round bars for reinforcement,quintal,4850.00,
1005,Twisted steel/ deformed TMT bars Fe-500D,quintal,4900.00,
1015,Mild steel expanded metal 20x60 mm strands 3.25 mm wide 1.60 mm thick,sqm,280.00,
1021,Hard drawn steel wire fabric 75 x 25 mm mesh of weight not less than 7.75 kg/sqm,sqm,430.00,
1034,Bolts and nuts up to 300 mm in length,quintal,5200.00,
1197,Second class kail wood in scantling,10 cudm,260.00,
1198,Second class kail wood in planks,10 cudm,260.00,
1215,Welding by electric plant,cm,2.00,
1224,Hard drawn steel wire,quintal,4800.00,
1225,Mild steel flat strap fitting,quintal,4120.00,
1980,Fly ash,cum,11.00,
2200,Carriage of Steam coal,tonne,187.35,
2202,Carriage of Stone aggregate below 40 mm nominal size,cum,163.93,
No.,,,as on or just before 01.04.2021,
2203,Carriage of Coarse sand,cum,163.93,
2204,Carriage of Timber,cum,187.35,
2205,Carriage of Steel,tonne,145.72,
2206,Carriage of Stone aggregate 40 mm nominal size and above,cum,178.19,
2209,Carriage of Cement,tonne,145.72,
2211,Carriage of Tar / Bitumen,tonne,163.93,
2261,Carriage of Fine sand (1 part of badarpur sand: 2 parts jamuna sand),cum,163.93,
2262,Carriage of Flyash,cum,163.93,
2273,Carriage of A.C.sheet and accessories,tonne,145.72,
2302,Carriage of G.I. sheet and accessories,tonne,145.72,
2391,Strips-Aluminium fluted 3.15 mm thick and 150 mm wide,metre,286.00,
2392,Strips Aluminium fluted 3.15 mm thick and 200 mm wide,metre,381.00,
2393,1 mm thick Stainless Steel Cover plate grade 304,kg,286.00,
2394,Coupler 16 mm dia,each,31.00,
2395,Coupler 20 mm dia,each,41.00,
2396,Coupler 25 mm dia,each,72.00,
2397,Coupler 28 mm dia,each,83.00,
2398,Coupler 32 mm dia,each,114.00,
2399,Complete Roof Joint of 100 mm,metre,2912.00,
2400,Complete Roof Joint of 150 mm,metre,3328.00,
2401,Complete Roof Joint of 200 mm,metre,4160.00,
2402,Epoxy adhesive,kg,156.00,
2403,Floor Joint of 100 mm,metre,3193.00,
2404,Floor Joint of 150 mm,metre,4120.00,
2405,Floor Joint of 200 mm,metre,5562.00,
2409,Wall Joint of 100 mm,metre,2472.00,
2410,Wall Joint of 150 mm,metre,2884.00,
2411,Wall Joint of 200 mm,metre,3468.00,
2447,Hollock ballies 125 mm diameter,metre,36.00,
7183,Bentonite of 35 kg per pile,tonne,2800.00,
7318,Plasticizer / super plasticizer,kg,29.00,
7319,Wall form panel 1250x500 mm,each,860.00,
7320,Tie bolt 12 mm dia 100 mm length,each,38.00,
7321,Tie bolt 12 mm dia 150 mm length,each,48.00,
7322,Tie bolt 20 mm dia 150 mm length,each,57.00,
7323,Tie bolt 20 mm dia 225 mm length,each,67.00,
_SUB HE_,110 _D : 5.0 REINFORCED CEMENT CONCRETE_,,,
,,01-04-2021 dks ;k mlls Bhd igys,,
0002,gkWIIkj lfgr 0-25 ls 0-40 ?ku ehVj daØhV feDlj dk fdjk;k fnu,800-00,,
0004,cSp feDl IykaV }kjk daØhV dh mRiknu ykxr ?ku eh,400-00,,
0009,"daØhV ds iafiax dk fdjk;k ¼iai dk fdjk;k] ikbi dk;Z vkSj vU; lgk;d lk/kuksa ds fdjk, dks lfEefyr djds½ ?ku eh",210-00,,
0011,4000 yhVj@izfr ?kaVk {kerk okys iai lsV dk fdjk;k fnu,700-00,,
0012,okbZCkzsVj ¼40 feyhehVj lwbZ ds vkdkj dk½ fnu,350-00,,
0025,"gYdh Øsu dk HkkMk ,oa ifjpkyu ykxr fnu",3500-00,,
0026,"csVksukbZV iEi dk HkkMk ,ao ifjpkyu ykxr fnu",3000-00,,
0029,VªkfUtV feDlj ls daØhV dh <qykbZ fdeh@?ku,eh 37-30,,
0052,"ÝaV ,aM yksM+j 1 ?ku eh- cdsV {kerk ¼ih0 vks0 ,y½ lfgr ?kaVk",1300-00,,
0066,cSfpax vkSj fefDlax la;Rkz@75 ?ku eh izfr /kaVk ?kaVk,2400-00,,
0070,100 fdyksokV@125 fdyksokV dk tfuRkz ?kaVk,300-00,,
0082,"eSdsfudy xzsc }kjk Mk;Ýke oky ds fy, [kqnkbZ oxZ eh-",1500-00,,
0101,fHk”rh fnu,714-00,,
0102,Ykqgkj igyh Js.kh dk fnu,784-00,,
0103,Ykqgkj nwljh Js.kh dk fnu,714-00,,
0112,c<+bZ nwljh Js.kh dk fnu,714-00,,
0114,csynkj fnu,645-00,,
0115,dqyh fnu,645-00,,
