Item No.,Description,Unit,Rate,
No.,,,as on or just before 01.04.2021,
0006,Hire charges of Spraying machine including electric charges,day,250.00,
0011,Hire charges of Pump set of capacity 4000 litres/hour,day,700.00,
0058,Air compressor,hour,200.00,
0085,Using cost of Ultra Violet Radiation tube,Hour,190.00,
0086,"Compressor, gun, rubber pipes & other accessories- hire charge of plant & machinery i/c necessary fuel",day,4000.00,
0087,Hire Charges of Suction Jeting machine 2200 PSI machine i/c POL and operator,day,40000.00,
0100,Bandhani,day,714.00,
0101,Bhisti,day,714.00,
0102,Blacksmith 1st class,day,784.00,
0103,Blacksmith 2nd class,day,714.00,
0111,Carpenter 1st class,day,784.00,
0112,Carpenter 2nd class,day,714.00,
0114,Beldar,day,645.00,
0115,Coolie,day,645.00,
0116,Fitter (grade 1),day,784.00,
0117,Assistant Fitter or 2nd class Fitter,day,714.00,
0119,Glazier,day,714.00,
0123,Mason (brick layer) 1st class,day,784.00,
0124,Mason (brick layer) 2nd class,day,714.00,
0126,Mason (for ornamental stone work) 1st class,day,784.00,
0128,Mate,day,714.00,
0129,Sewer man,day,645.00,
0130,Mistry,day,784.00,
0131,Painter,day,714.00,
0138,"Sprayer (for bitumen, tar etc.)",day,714.00,
0139,Skilled Beldar (for floor rubbing etc.),day,714.00,
0141,White Washer,day,714.00,
0155,Mason (average),day,749.00,
0156,Carpenter (average),day,749.00,
0159,Skilled torch operator for laying tack,day,784.00,
0160,Technician,day,853.00,
0164,Security guard without gun (8 hours shift duty per day),day,784.00,
0165,Security guard with gun (8 hours shift duty per day),day,853.00,
0295,Stone Aggregate (Single size) : 20 mm nominal size,cum,1400.00,
No.,,,as on or,
,,,just before 01.04.2021,
0297,Stone Aggregate (Single size) : 10 mm nominal size,cum,1350.00,
0302,Safeda ballies 125 mm diameter,metre,40.00,
0308,Bhusa,quintal,500.00,
0313,Blown type petroleum bitumen of penetration 85/25 of approved quality,tonne,34790.00,
0316,Bitumen solution primer of approved quality,litre,47.00,
0367,Portland Cement (OPC-43 Grade),tonne,5000.00,
0370,Coal (steam),quintal,440.00,
0427,Brass quadrant stays 300 mm,each,110.00,
0428,Brass fanlight catch,10 Nos,170.00,
0429,Brass fanlight pivot,10 Nos,168.00,
0430,Brass chain with hook for fan light catch,each,36.00,
0442,Brass helical spring 150 mm,each,290.00,
0444,Brass curtain rod 20 mm dia 1.25 mm thick,metre,140.00,
0445,Brass curtain rod 25 mm dia 1.25 mm thick,metre,190.00,
0446,Brass brackets (curtain rods) 20 mm,each,45.00,
0449,Brass screws 50 mm,100 Nos,220.00,
0450,Brass screws 40 mm,100 Nos,170.00,
0452,Brass screws 25 mm,100 Nos,100.00,
0524,Chromium plated Brass butt hinges (heavy) type 75x65x 4 mm weighing not less than 200gms,10 Nos,905.00,
