Item No.,Description,Unit,Rate,
No.,,,as on or just before 01.04.2021,
0100,Bandhani,day,714.00,
0101,Bhisti,day,714.00,
0103,Blacksmith 2nd class,day,714.00,
0112,Carpenter 2nd class,day,714.00,
0114,Beldar,day,645.00,
0115,Coolie,day,645.00,
0116,Fitter (grade 1),day,784.00,
0117,Assistant Fitter or 2nd class Fitter,day,714.00,
0123,Mason (brick layer) 1st class,day,784.00,
0124,Mason (brick layer) 2nd class,day,714.00,
0128,Mate,day,714.00,
0131,Painter,day,714.00,
0295,Stone Aggregate (Single size) : 20 mm nominal size,cum,1400.00,
0297,Stone Aggregate (Single size) : 10 mm nominal size,cum,1350.00,
0367,Portland Cement (OPC-43 Grade),tonne,5000.00,
0586,Chromium plated Brass screws 40 mm,100 Nos,290.00,
0588,Chromium plated Brass screws 25 mm,100 Nos,180.00,
0828,Anticorrosive bituminous paint (black),litre,100.00,
0834,Synthetic enamel paint in all shades except black or chocolate shade,litre,165.00,
0982,Coarse sand (zone III),cum,1500.00,
1007,"Structural steel such as tees, angles channels and R.S. joists",quintal,4950.00,
1309,C.I. bracket for wash basin and sinks,pair,88.00,
1313,8 mm dia C.P. Brass/ S.S. Jet with flexible tube upto 1 metre long with S.S. tringular plate for Eureopean type W.C.,each,200.00,
1315,C.P.brass chain with 40 mm dia rubber plug,each,40.00,
1330,Clamps and M.S. stays including bolts and nuts for 100 mm pipe,each,67.50,
1331,M.S. Holder bat clamp of approved design for 100 mm S.C.I. pipe,each,30.00,
1332,M.S. Holder bat clamp of approved design for 75 mm S.C.I. pipe,each,27.00,
1334,Clamps and M.S. stays including bolts and nuts for 50 mm pipe,each,35.00,
1335,Clamps and M.S. stays including bolts and nuts for 75 mm pipe,each,37.00,
1350,Mosquito proof coupling of approved design,each,30.00,
1363,Vitreous china foot rests 250x130x30 mm,pair,100.00,
1369,S.C.I. gully or nahani grating 100 mm dia,each,25.00,
No.,,,as on or just before 01.04.2021,
1373,Rubber insertions for 75 mm dia pipe joints,each,16.00,
1374,Rubber insertions for 100 mm dia pipe joints,each,18.00,
1392,Mirror of superior make glass 60x45 cm,each,450.00,
1396,Vitreous china pedestal for wash basin,each,950.00,
1397,Pig lead,kg,210.00,
1532,Flush pipe with union spreaders and clamps all in C.P. brass for single stall,each,310.00,
1533,Flush pipe with union spreaders and clamps all in C.P. brass for double stall,each,425.00,
1534,Flush pipe with union spreaders and clamps all in C.P. brass for range of three stall,each,525.00,
1535,Flush pipe with union spreaders and clamps all in C.P. brass for range of four stall,each,610.00,
1540,Flush pipe and spreaders G.l. for single set of one squatting plate urinal,each,190.00,
1541,Flush pipe and spreaders G.l. for range of two squatting plates urinal,each,275.00,
1542,Flush pipe and spreaders G.l. for range of three squatting plates urinal,each,310.00,
1543,Flush pipe and spreaders G.l. for range of four squatting plates urinal,each,450.00,
1614,G.I. inlet connection,each,70.00,
