Item No.,Description,Unit,Rate,,
No.,,,as on or,,
,,,just before 01.04.2021,,
0100,Bandhani,day,714.00,,
0101,Bhisti,day,714.00,,
0102,Blacksmith 1st class,day,784.00,,
0103,Blacksmith 2nd class,day,714.00,,
0112,Carpenter 2nd class,day,714.00,,
0114,Beldar,day,645.00,,
0116,Fitter (grade 1),day,784.00,,
0119,Glazier,day,714.00,,
0123,Mason (brick layer) 1st class,day,784.00,,
0124,Mason (brick layer) 2nd class,day,714.00,,
0139,Skilled Beldar (for floor rubbing etc.),day,714.00,,
0595,Bright finished or black enameled mild steel butt hinges 100x58x 1.90 mm,10 Nos,80.00,,
0969,Pulley 25 mm dia,each,48.00,,
0973,Rolling shutter made of 80x1.25 mm machine rolled laths,sqm,1400.00,,
0974,Top cover for rolling shutters 1.25 mm thick,metre,800.00,,
0975,27.5 cm long wire spring grade No. 2 for rolling shutters,each,300.00,,
0976,Ball bearing for rolling shutters,each,260.00,,
0977,Extra for mechanical devices chain and cranked operation for operating rolling shutters: exceeding 10.00 sqm and up to 16.80 sqm area of door,sqm,800.00,,
0978,Extra for mechanical devices chain and cranked operation for operating rolling shutters: exceeding 16.80 sqm area of door,sqm,800.00,,
1002,Mild steel round bar 12 mm dia and below,quintal,4850.00,,
1003,Mild steel round bar above 12 mm dia,quintal,4750.00,,
1007,"Structural steel such as tees, angles channels and R.S. joists",quintal,4950.00,,
1008,Flats up to 10 mm in thickness,quintal,4850.00,,
1009,Flats exceeding 10 mm in thickness,quintal,4950.00,,
1010,Mild steel plates,quintal,5400.00,,
1011,"Steel glazed door, window/ ventilator, all members viz. F7D, F4B, K11 and K12B etc.",kg,54.00,,
1013,Mild steel sheets of 1.00 mm thickness for tanks,quintal,4850.00,,
1019,Mild steel hooks,each,32.00,,
1020,Mild steel rivets,quintal,5100.00,,
1034,Bolts and nuts up to 300 mm in length,quintal,5200.00,,
No.,,,as on or,,
,,,just before 01.04.2021,,
1035,Bolts and nuts above 300 mm in length,quintal,5300.00,,
1036,Iron pintels including welded pin,each,37.00,,
1143,Steel beading 10x10x1.6mm (box type),metre,27.00,,
1214,Welding by gas plant,cm,2.00,,
1215,Welding by electric plant,cm,2.00,,
1221,M.S. 20 mm dia holding down bolts,quintal,6100.00,,
1222,Mild steel sheets with bolts and nuts to rest on pintels,each,120.00,,
1549,G.I. pipes 40 mm dia,metre,290.00,,
2205,Carriage of Steel,tonne,145.72,,
2271,Carriage of G.I. pipes below 100 mm dia,tonne,145.72,,
2406,Float glass panes of nominal thickness 4 mm (weight not less than 10 kg/sqm),sqm,309.00,,
2407,Float glass panes of nominal thickness 5 mm (weight not less than 12.50 kg/sqm),sqm,515.00,,
2506,Carbon Steel galvanised dash fastner (min coating 5 micron) of 10 mm dia double threaded 6.8 grade counter sunk head screw comprising of 10 mm dia polyamide PA 6 grade sleave. Size 10mm x 60 mm,10 Nos,270.00,,
2507,Carbon Steel galvanised dash fastner (min coating 5 micron) of 10 mm dia double threaded 6.8 grade counter sunk head screw comprising of 10 mm dia polyamide PA 6 grade sleave. Size 10mm x 80 mm,10 Nos,312.00,,
2508,Carbon Steel galvanised dash fastner (min coating 5 micron) of 10 mm dia double threaded 6.8 grade counter sunk head screw comprising of 10 mm dia polyamide PA 6 grade sleave. Size 10 mm x 120 mm,10 Nos,380.00,,
2509,Carbon Steel galvanised dash fastner (min coating 5 micron) of 10 mm dia double threaded 6.8 grade counter sunk head screw comprising of 10 mm dia polyamide PA 6 grade sleave. Size 10mm x 140 mm,10 Nos,468.00,,
2510,Carbon Steel galvanised dash fastner (min coating 5 micron) of 10 mm dia double threaded 6.8 grade counter sunk head screw comprising of 10 mm dia polyamide PA 6 grade sleave. Size 10mm x 160 mm,10 Nos,598.00,,
4001,Stainless steel (Grade-304)hollow section round/square tubes,kg,230.00,,
4002,Stainless steel bolts/square bar and plates,kg,120.00,,
4006,"Pressed steel door frames (mild steel sheet of 1.60 mm) Profile ""B""",metre,200.00,,
4007,"Pressed steel door frames (mild steel sheet of 1.60 mm) Profile ""C""",metre,220.00,,
4008,"Pressed steel door frames (mild steel sheet of 1.60 mm) Profile ""E""",metre,250.00,,
4009,Mild steel tubes hot finished welded type,kg,60.00,,
No.,,,as on or just before 01.04.2021,,
4010,Mild steel tubes hot finished seamless type,kg,70.00,,
4011,Mild steel tubes electric resistant or induction butt welded,kg,50.00,,
4012,"Circular C.I. Box for ceiling fan internal dia 140 mm, 73 mm height, toplid of 1.5mm thick MS sheet",each,55.00,,
4013,Pulley 40 mm dia,each,35.00,,
7029,Galvanised wire mesh of average width of aperture 1.4 mm and nominal dia of wire 0.63 mm,sqm,250.00,,
7044,Rolling shutters of 80x0.90 mm laths,sqm,1300.00,,
7045,Rolling shutters of 80x1.2 mm laths,sqm,1375.00,,
7046,Top cover of Rolling shutters 0.90 mm thick,metre,450.00,,
7047,Top cover of Rolling shutters 1.20 mm thick,metre,560.00,,
7068,Extra for providing grilled rolling shutters with 8 mm dia M.S. rod,sqm,500.00,,
8737,Stainless steel wire guage (Grade-304) aperture 1.4 mm and 0.50mm dia wire,sqm,413.00,,
9977,Carriage,L.S.,2.12,,
9988,Carriage and sundries,L.S.,2.12,,
9999,Sundries,L.S.,2.12,,
,,,01-04-2021,,
,,,dks ;k mlls Bhd igys,,
0100,ca/kkuh,fnu,`714.00`,,
0101,fHkLrh,fnu,`714.00`,,
0102,yqgkj igyh Js.kh dk,fnu,`784.00`,,
0103,yqgkj nwljh Js.kh dk,fnu,`714.00`,,
0112,Ck<+bZ nwljh Js.kh dk,fnu,`714.00`,,
0114,csynkj,fnu,`645.00`,,
0116,fQVj ¼xzsM &1½,fnu,`784.00`,,
0119,“kh”kxj,fnu,`714.00`,,
0123,jkt igyh Js.kh dk ¼bZV ijr½,fnu,`784.00`,,
0124,jkt nwljh Js.kh dk ¼bZV ijr½,fnu,`714.00`,,
0139,"dq”ky csynkj ¼Q”kZ & f?klkbZ vkfn ds fy,½ f?klkbZ okyk",fnu,`714.00`,,
0595,"uje bLikr pednkj ;k dkys ,uSey;qDr lVs dCts ¼100x58x1-90½ fe-eh-",nl ux,`80.00`,,
0969,25 fe-eh O;kl dh f?kjuh,izR;sd,`48.00`,,
0973,e”khu ls csfYyr 80x1-25 fe-ehs /kkCft;ksa lsa cuk fyiVoka dikV,oxZ eh-,`1400.00`,,
0974,"fyiVoka dikVksa ds fy, Åijh vkoj.k 1-25 feeh eksVk",ehVj,`800.00`,,
0975,"fyiVoka dikVksa ds fy, 27-5 ls-eh yach xzsM 2 dh rkj dekuh",izR;sd,`300.00`,,
0976,"fyiVoka dikVksa ds fy, xksyh & ykx",izR;sd,`260.00`,,
0977,"vfrfjDr nj] fyiVoka dikVksa ds fy, ;kf=d] lqfDr] tathj vkSj dszad pkyu O;oLFkk ds fy, 10-00 oxZ ehVj ls vf/kd vkSj 16-80 oxZ ehVj rd njokts dk {ks+=Qy",oxZ eh-,`800.00`,,
0978,"vfrfjDr nj] fyiVoka dikVksa ds fy, ;kaf=d] ;qfDr] tathj vkSj dsazd pkyu O;oLFkk ds fy, njokts ds 16-80 oxZ ehVj ls vf/kd {ks=Qy ds fy,A",oxZ eh-,`800.00`,,
1002,uje bLikr lfj;s 12 fe-eh vkSj mlls de O;kl okys,fDaoVy,`4850.00`,,
1003,uje bLikr lfj;s 12 fe-eh ls vf/kd O;kl okys,fDaoVy,`4750.00`,,
`1007`,lajpuk & bLikr tSls Vh] dksfu;ks ukyh dkV vkSj csfYyr bLikr dh dfM;ka,fDaoVy,`4950.00`,,
1008,bLikr dh 10 fe-eh rd eksVh ifRr;ka,fDaoVy,`4850.00`,,
1009,bLikr dh 10 fe-eh ls vf/kd eksVh ifRr;ka,fDaoVy,`4950.00`,,
`1010`,uje bLikr dh IysVs,fDaoVy,`5400.00`,,
1011,"bLikr ds “kh”ks yxs njokts+] f[kM+fd;ka@jks”kunku *,Q7*Mh *,Q4* ch ds `II`rFkk *ds* 12 ch bR;kfn½",fd-xzk-,`54.00`,,
1013,"Vafd;ksa ds fy, uje bLikr dh pknjsa 1 fe-eh- eksVh",fDaoVy,`4850.00`,,
1019,uje bLikr ds gqd,izR;sd,`32.00`,,
1020,uje bLikr dh fjcsVsa,fDaoVy,`5100.00`,,
1034,dkcys vkSj f<cfj;ka 300 fe-eh rd yEcsa,fDaoVy,`5200.00`,,
,,,01-04-2021 dks ;k mlls Bhd igys,,
1035,dkcys vkSj f<cfj;ka 300 fe-eh ls vf/kd yEcsa,fDaoVy,`5300.00`,,
1036,>kyh gqbZ dhfy;ksa lfgr yksgs ds fiaVy,izR;sd,`37.00`,,
1143,bLikr /kkrq dh ifRr;ka & xksVu vkdkj 10`x`10 x 1-6 feeh ¼ckDl dh rjg½,ehVj,`27.00`,,
1214,>ykbZ xSl & IykVa ls,ls-eh-,`2.00`,,
1215,>ykbZ fo,qr & IykVa ls,ls-eh-,`2.00`,
1221,20 fe-eh O;kl ds idM~ dkcys,fDaoVy,`6100.00`,,
1222,"fiaVyksa ij cSBus ds fy, dkcyksa vkSj f<cfj;ksa lfgr uje bLikr dh pknjsa",izR;sd,`120.00`,,
1549,40 fe-eh O;kl okys tLrh yksgs ds uy,ehVj,`290.00`,,
2205,bLikr dh <qykbZ,Vu,`145.72`,,
2271,100 fe-eh ls de O;kl tLrh uy dh <qykbZ,Vu,`145.72`,,
2406,dkap dh pknj 4 fe-eh ukeh; eksVh ¼10 fdxzk@oxZ eh- ls vU;wu Hkkj okyh otu okyh½,oxZ eh-,`309.00`,,
2407,dkap dh pknj 5-0 fe-eh ¼12-50 fdxzk@oxZ eh- ls vU;wu Hkkj okyh½,oxZ eh-,`515.00`,,
2506,"6-8 xzsM ds nksgjh pwM+hnkj okys 10 feeh O;kl ds dkcZu v;Ld ds dybZnkj MS”k dhyd ¼Qzklfuax½ ¼U;wure ijr 5 ekbdzku½ ftuds dkmUVj ds uhps ds isap ¼Ldzw½ esa ih , 6 xszM dh Lyhc 10 feeh ds O;kl dh ikWfyekbM gks] vkdkj 10 feehx60 feeh",nl ux,270-00,,
2507,"6-8 xzsM ds nksgjh pwM+hnkj okys 10 feeh O;kl ds dkcZu v;Ld ds dybZnkj MS”k dhyd ¼Qzklfuax½ ¼U;wure ijr 5 ekbdzku½ ftuds dkmUVj ds uhps ds isap ¼Ldzw½ esa ih , 6 xszM dh Lyhc 10 feeh ds O;kl dh ikWfyekbM gks] vkdkj 10 feeh`x` 80 feeh",nl ux,`312.00`,,
2508,"6-8 xzsM ds nksgjh pwM+hnkj okys 10 feeh O;kl ds dkcZu v;Ld ds dybZnkj MS”k dhyd ¼Qzklfuax½ ¼U;wure ijr 5 ekbdzku½ ftuds dkmUVj ds uhps ds isap ¼Ldzw½ esa ih , 6 xszM dh Lyhc 10 feeh ds O;kl dh ikWfyekbM gks] vkdkj 10 feeh`x` 120 feeh",nl ux,`380.00`,,
2509,"6-8 xzsM ds nksgjh pwM+hnkj okys 10 feeh O;kl ds dkcZu v;Ld ds dybZnkj MS”k dhyd ¼Qzklfuax½ ¼U;wure ijr 5 ekbdzku½ ftuds dkmUVj ds uhps ds isap ¼Ldzw½ esa ih , 6 xszM dh Lyhc 10 feeh ds O;kl dh ikWfyekbM gks] vkdkj 10 feeh`x` 140 feeh",nl ux,`468.00`,,
2510,"6-8 xzsM ds nksgjh pwM+hnkj okys 10 feeh O;kl ds dkcZu v;Ld ds dybZnkj MS”k dhyd ¼Qzklfuax½ ¼U;wure ijr 5 ekbdzku½ ftuds dkmUVj ds uhps ds isap ¼Ldzw½ esa ih , 6 xszM dh Lyhc 10 feeh ds O;kl dh ikWfyekbM gks] vkdkj 10 feeh`x` 160 feeh",nl ux,`598.00`,,
4001,LVsuysl LVhy ¼xzsM&304½ [kks[kys [k.M ds xksy@pkSjl V~;wc,fd-xzk-,`230.00`,,
4002,LVsuysl LVhy ds dkcys ¼cksYVl½@pkSjl NM+ rFkk IysVsa,fd-xzk-,`120.00`,,
4006,lEihfMr bLikr ds njokts dk <kapk #ijs[kk ^d* ¼1-60 fe-eh uje bLikr dh pknj½,ehVj,`200.00`,,
4007,lEihfMr bLikr ds njokts dk <kapk #ijs[kk ^[k* ¼1-60 fe-eh uje bLikr dh pknj½s,ehVj,`220.00`,,
4008,lEihfMr bLikr ds njokts dk <kapk #ijs[kk ^x* ¼1-60 fe-eh uje bLikr dh pknj½s,ehVj,`250.00`,,
4009,"xeZ rS;kj >kyh izdkj dh uje bLikr dh ufydk,a",fd-xzk,`60.00`,,
