Item No.,Description,Unit,Rate
No.,,,as on or just before 01.04.2021
2415,21mm thick clear toughened Laminated glass for fins with holes,sqm,6120.00
2605,Structural sealant - 6 mm x 12 mm,metre,31.00
2606,Spacer tape 6.4 mm thick x 6 mm wide,metre,21.00
2607,Weather Sealant - Non Staining (600 ml),each,332.00
2608,Weather Sealant - Normal (300 ml),each,102.00
2609,MS Brackets/Aluminium Alloy Brackets,kg,104.00
2610,Silicon Gasket in Kg (Above 50 g / m),kg,484.00
2611,EPDM Gasket in Kg (Above 60 g / m),kg,156.00
2612,Anchor Fastner - M10,each,11.00
2613,SS Bolt with washer of different sizes for structural glazing / ACP Cladding,each,37.00
2614,SS Screws of sizes for structural glazing / ACP Cladding,each,4.00
2615,Protective Tape,metre,22.00
2616,GI flashing - 1.2 mm Thick,kg,61.00
2617,6 mm thick High performance glass,sqm,1030.00
2618,6 mm thick clear heat strengthened glass,sqm,670.00
2619,6 mm thick clear heat strengthened glass,each,132.00
2620,"ARMS GS HD - Top Hung -20""- Type P- Couple",pair,1390.00
2621,Connection Block for vision glass panel,each,36.00
2622,Curtain wall striker for vision glass panel,each,87.00
2623,Adjustable Fastening Pawl for vision glass panel,each,36.00
2624,Corner drive for vision glass panel,each,260.00
2625,Top wedge Block for vision glass panel,each,122.00
2626,Glass wool of denisity @ 48 Kg / cum with black glass tissue (BGT),sqm,255.00
2627,SS Screws - # 8 x 19,each,7.00
2628,Weather Sealant - DC 789,cartridge,125.00
2629,Cement Board,sqm,245.00
2630,Baker rod,metre,6.00
,,,01-04-2021
,,,dks ;k mlls Bhd igys
2415,21 fe-eh- eksVk VQUM ySfeusVSM Xykl Nsn lfgr,oxZ eh-,6120-00
2605,<kapkxr lhySUV& 6 feehx12 feeh,ehVj,31-00
2606,Lislj Vsi 6-4 feeh eksVkx6 feeh pkSM+k,ehVj,21-00
2607,ekSle lhySUV& uku LVsfuxa ¼600ml½,izR;sd,332-00
2608,ekSle lhySUV& lkekU; ¼300ml½,izR;sd,102-00
2609,",e-,l- czsdsV~l@ ,Y;qfefu;e ,ykW; czsdsV~l",fdyksxzke,104-00
2610,flfydku xSLdsV fdxzk0 eas ¼50 xzke@ehVj ls vf/kd½,fdyksxzke,484-00
2611,EPDM xSLdsV fdxzk esa ¼60 xzke@ehVj ls vf/kd½,fdyksxzke,156-00
2612,",sUdj QkLVuj &M10",izR;sd,11-00
2613,"<kapkxr Xysftax @ACP DySfMax ds fy, ok”kj ds lkFk fofHkUu vkdkjksa ds ,l-,l- cksYV",izR;sd,37-00
2614,"<kapkxr Xysftax @ACP DySfMax ds fy, ok”kj ds lkFk fofHkUu vkdkjksa ds ,l-,l- LØw",izR;sd,4-00
2615,lqj{kk Vsi,ehVj,22-00
2616,th0 vkbZ0 ¶ySf”kax & 1-2 feeh eksVh,fdyksxzke,61-00
2617,6 feeh eksVh mPp fu’iknu Xykl,oxZ eh-,1030-00
2618,6 feeh eksVh fDy;j rki”kfDr okyh Xykl,oxZ eh-,670-00
2619,6 feeh eksVh fDy;j rki”kfDr okyh Xykl,izR;sd,132-00
2620,"ARMS GS- HD-Vki gax-20"" Vkbi-ih diy",lSV,1390-00
2621,dusD”ku Cykd,izR;sd,36-00
2622,dVsZu oky fLVªdj,izR;sd,87-00
2623,"lek;ksftr fd, tkus ;ksX; QkLVfuax ikWy",izR;sd,36-00
2624,dkuZj Mªkbo,izR;sd,260-00
2625,Vki ost Cykd,izR;sd,122-00
2626,dkyh dkap fV”kw¼BGT½ds lkFk 48 fdxzk0@?ku eh- ?kuRo okyh dkap owy,oxZ eh-,255-00
2627,SSLØw- #8x19,izR;sd,7-00
2628,ekSle lhySUV–DC 789,cartridge,125-00
2629,lhesUV cksMZ,oxZ eh-,245-00
2630,csdj jkM,ehVj,6-00
2631,4 mm thick ACP,sqm,1100.00
2632,Fire Stop,metre,480.00
2634,GI/Aluminium Sheet (0.8 mm thick),kg,55.00
7306,Aluminium T or L sections,kg,190.00
7392,Powder coating 50 microns on aluminium sections,kg,61.00
8559,Stainless steel U Channel of size (50x25x2mm),metre,160.00
8560,Non staining water resistant clear silicon,metre,70.00
8654,Masking tape,metre,2.18
8678,1 mm thick 35 mm wide bright finished stainless steel piano hinges,metre,47.04
8945,4 Point facade glass bracket without flat head bolts,Nos,3318.00
8946,2 Point facade glass bracket (wall mounted with out flat head bolt),Nos,1659.00
8947,1 Point facade glass bracket (wall mounted with out flat head bolt),Nos,1300.00
8948,Flate head bolt for brackets of spider glazing,Nos,651.00
8949,400 mm long fin plate without fastners,pair,5931.00
9999,Sundries,L.S.,2.12
2631,4 feeh eksVhACP oxZ eh-,1100-00,
2632,Qk;j LVki ehVj,480-00,
2634,"th0 vkbZ0/,Y;qfefu;e “khV ¼0-8 feeh eksVh½ fdyksxzke",55-00,
7306,",Y;qfefu;eT vFkokL lsD”ku fdyksxzke",190-00,
7392,",Y;qfefu;e lsD”kuksa ij 50 ekbdzksu ikoMj dksfVax fdyksxzke",61-00,
8559,",l- ,l ;w pSuy 50x25x2 feeh- ehVj",160-00,
8560,ukWu LVsfux okVj jSftlVsUV flfydksu ehVj,70-00,
8654,ekfLdax Vsi ehVj,2-18,
8678,1 feeh eksVs 35 feeh pkSMs pednkj LVsu ysl LVhy ls fufeZr fi;kuks dCts ehVj,47-04,
8945,4 feeh IokbaV QslkM Xykl czsdsV izR;sd,3318-00,
8946,2 feeh IokbaV QslkM Xykl czsdsV izR;sd,1659-00,
8947,1 feeh IokbaV QslkM Xykl czsdsV izR;sd,1300-00,
8948,¶ySV gSM cksYV izR;sd,651-00,
8949,Vki ij 400 fQu IysV lSV,5931-00,
9999,"fofo/k ,d eq”r",2-12,
25.1,"Providing and supplying aluminium extruded tubular and other aluminium sections as per the architectural drawings and approved shop drawings , the aluminium quality as per grade 6063 T5 or T6 as per BS 1474,including super durable powder coating of 60-80 microns conforming to AAMA 2604 of required colour and shade as approved by the Engineer-in-Charge. ( The item includes cost of material such as cleats, sleeves, screws etc. necessary for fabrication of extruded aluminium frame work. Nothing extra shall be paid on this account). The weight of aluminium extruded section shall be taken for purpose of payment.",kg,370.45
25.2,"Designing, fabricating, testing, protection, installing and fixing in position semi (grid) unitized system of structural glazing (with open joints) for linear as well as curvilinear portions of the building for all heights and all levels, including:",,
,"(a) Structural analysis & design and preparation of shop drawings for the specified design loads conforming to IS 875 part III (the system must passed the proof test at 1.5 times design wind pressure without any failure), including functional design of the aluminum sections for fixing glazing panels of various thicknesses, aluminium cleats, sleeves and splice plates etc. gaskets, screws, toggles, nuts, bolts, clamps etc., structural and weather silicone sealants, flashings, fire stop (barrier)- cum-smoke seals, microwave cured EPDM gaskets for water tightness, pressure equalisation & drainage and protection against fire hazard including:",,
,"(b) Fabricating and supplying serrated M.S. hot dip galvanised / Aluminium alloy of 6005 T5 brackets of required sizes, sections and profiles etc. to accommodate 3 Dimentional movement for achieving perfect verticality and fixing structural glazing system rigidly to the RCC/ masonry/structural steel framework of building structure using stainless steel anchor fasteners/ bolts, nylon seperator to prevent bimetallic contacts with nuts and washers etc. of stainless steel grade 316, of the required capacity and in required numbers. (c) Providing and filling, two part pump filled, structural silicone sealant and one part weather silicone sealant compatible with the structural silicone sealant of required bite size in a clean and controlled factory / work shop environment, including double sided spacer tape, setting blocks and backer rod, all of approved grade, brand and manufacture, as per the approved sealant design, within and all around the perimeter for holding glass.",,
