Item No.,Description,Unit,Rate,,
No.,,,as on or just before 01.04.2021,,
0001,Hire charges of Coaltar Boiler 900 to 1400 litres,day,800.00,,
0010,Hire charges of Derrick monkey rope,day,750.00,,
0114,Beldar,day,645.00,,
0115,Coolie,day,645.00,,
0116,Fitter (grade 1),day,784.00,,
0117,Assistant Fitter or 2nd class Fitter,day,714.00,,
0123,Mason (brick layer) 1st class,day,784.00,,
0124,Mason (brick layer) 2nd class,day,714.00,,
0593,"C.P. Brass Extension Nipple (1/2""x2"" size)",each,40.00,,
0761,Fuel wood,quintal,500.00,,
0771,Kerosene oil,litre,50.00,,
1301,Bleaching powder,quintal,1800.00,,
1304,Surface box for stop cock,each,125.00,,
1305,Surface box for sluice valve,each,210.00,,
1307,Surface box for water meter,each,250.00,,
1339,Brass bib-cock 15 mm dia,each,210.00,,
1340,Brass bib-cock 20 mm dia,each,225.00,,
1342,Brass stop-cock 15 mm dia,each,210.00,,
1343,Brass stop-cock 20 mm dia,each,225.00,,
1360,"C.I. mouth, brass ferrule 15 mm dia",each,140.00,,
1361,"C.I. mouth, brass ferrule 20 mm dia",each,160.00,,
1362,"C.l. mouth, brass ferrule 25 mm dia",each,220.00,,
1373,Rubber insertions for 75 mm dia pipe joints,each,16.00,,
1374,Rubber insertions for 100 mm dia pipe joints,each,18.00,,
1375,Rubber insertions for 125 mm dia pipe joints,each,20.00,,
1376,Rubber insertions for 150 mm dia pipe joints,each,20.00,,
1377,Rubber insertions for 200 mm dia pipe joints,each,25.00,,
1378,Rubber insertions for 250 mm dia pipe joints,each,40.00,,
1379,Rubber insertions for 300 mm dia pipe joints,each,45.00,,
1380,Rubber insertions for 350 mm dia pipe joints,each,50.00,,
1381,Rubber insertions for 400 mm dia pipe joints,each,73.00,,
1382,Rubber insertions for 450 mm dia pipe joints,each,92.00,,
1383,Rubber insertions for 500 mm dia pipe joints,each,110.00,,
1384,Rubber insertions for 600 mm dia pipe joints,each,125.00,,
1397,Pig lead,kg,210.00,,
No.,,,as on or just before 01.04.2021,,
1464,S & S.C.I. standard specials upto 300 mm dia (heavy class),quintal,3800.00,,
1466,S & S.C.I. standard specials over 300 mm dia (heavy class),quintal,3800.00,,
1468,Flanged C.I. standard specials upto 300 mm dia (heavy class),quintal,5700.00,,
1470,Flanged C.I. standard specials over 300 mm dia (heavy class),quintal,5250.00,,
1472,Casing pipe 100 mm dia,metre,340.00,,
