Item No.,Description,Unit,Rate,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
0100,Bandhani,day,714.00,,,
0101,Bhisti,day,714.00,,,
0102,Blacksmith 1st class,day,784.00,,,
0103,Blacksmith 2nd class,day,714.00,,,
0111,Carpenter 1st class,day,784.00,,,
0112,Carpenter 2nd class,day,714.00,,,
0114,Beldar,day,645.00,,,
0116,Fitter (grade 1),day,784.00,,,
0119,Glazier,day,714.00,,,
0123,Mason (brick layer) 1st class,day,784.00,,,
0124,Mason (brick layer) 2nd class,day,714.00,,,
0130,Mistry,day,784.00,,,
0131,Painter,day,714.00,,,
0156*,Carpenter (average),day,749.00,,,
0162,"Labour for fabrication of uPVC extruded casement/ sliding win- dows and doors including drilling holes, fixing of fittings & hard wares, hire charges of drill machine and electricity charges etc.",sqm,534.00,,,
0163,Labour for installation of uPVC extruded casement/ sliding windows and doors including scaffolding,sqm,773.00,,,
0237,Multi purpose fibre reinforced by organic fibres and/or inorganic synthetic fibres cement board 8 mm thick,sqm,220.00,,,
0243,8 mm thick mulitipurpose cement bonded wood particle board conforming to IS : 14276,sqm,215.00,,,
0305,Bamboo 25 mm dia 2.5 metre long,score,400.00,,,
0341,"Flat pressed three layer or graded wood particle board (medium density) exterior grade Grade 1, FPT-1, conforming and marked to IS: 3087 12 mm thick",sqm,288.00,,,
0346,Extra for veneered particle board with Teak veneering on one side and commercial veneering on other side,sqm,230.00,,,
0347,Extra for veneered particle board with Commercial veneering on both sides,sqm,155.00,,,
0348,Extra for veneered particle board with Teak veneering on both sides,sqm,500.00,,,
0378,Brass butt hinges (light/ordinary type) : 125x70x4 mm,10 Nos,775.00,,,
0379,Brass butt hinges (light/ordinary type) : 100x70x4 mm,10 Nos,625.00,,,
0380,Brass butt hinges (light/ordinary type) : 75x40x2.5 mm,10 Nos,380.00,,,
0381,Brass butt hinges (light/ordinary type) : 50x40x2.5 mm,10 Nos,155.00,,,
0382,Brass butt hinges (heavy type) : 125x85x5.5 mm(0.70 kg),10 Nos,1309.00,,,
